tanggal,id_komoditas,id_pasar,harga,nama_komoditas,satuan
2022-02-01,13,1,0,Tepung Terigu,kg
2022-02-01,14,1,0,Daging Ayam Ras,kg
2022-02-01,15,1,0,Telur Ayam Ras,kg
2022-02-01,16,1,0,Daging Sapi Paha Belakang,kg
2022-02-01,22,1,0,Mie Instan,bungkus
2022-02-01,23,1,0,Bawang Putih Honan,kg
2022-02-01,24,1,0,Bawang Putih Kating,kg
2022-02-01,26,1,0,Susu Kental Manis,kg
2022-02-01,29,1,0,Daging Ayam Kampung,kg
2022-02-01,30,1,0,Telur Ayam Kampung,kg
2022-02-02,1,1,9000,Beras Medium,kg
2022-02-02,2,1,10000,Beras Premium,kg
2022-02-02,3,1,25000,Cabai Merah Keriting,kg
2022-02-02,4,1,24000,Cabai Merah Besar,kg
2022-02-02,5,1,25000,Cabai Rawit Merah,kg
2022-02-02,6,1,25000,Cabai Rawit Hijau,kg
2022-02-02,7,1,20000,Bawang Merah,kg
2022-02-02,13,1,11000,Tepung Terigu,kg
2022-02-02,14,1,38000,Daging Ayam Ras,kg
2022-02-02,15,1,20000,Telur Ayam Ras,kg
2022-02-02,16,1,110000,Daging Sapi Paha Belakang,kg
2022-02-02,22,1,3000,Mie Instan,bungkus
2022-02-02,23,1,24000,Bawang Putih Honan,kg
2022-02-02,24,1,28000,Bawang Putih Kating,kg
2022-02-02,26,1,12000,Susu Kental Manis,kg
2022-02-02,29,1,65000,Daging Ayam Kampung,kg
2022-02-02,30,1,42000,Telur Ayam Kampung,kg
2022-02-03,1,1,9000,Beras Medium,kg
2022-02-03,2,1,10000,Beras Premium,kg
2022-02-03,3,1,25000,Cabai Merah Keriting,kg
2022-02-03,4,1,24000,Cabai Merah Besar,kg
2022-02-03,5,1,25000,Cabai Rawit Merah,kg
2022-02-03,6,1,25000,Cabai Rawit Hijau,kg
2022-02-03,7,1,20000,Bawang Merah,kg
2022-02-03,13,1,11000,Tepung Terigu,kg
2022-02-03,14,1,38000,Daging Ayam Ras,kg
2022-02-03,15,1,20000,Telur Ayam Ras,kg
2022-02-03,16,1,110000,Daging Sapi Paha Belakang,kg
2022-02-03,22,1,3000,Mie Instan,bungkus
2022-02-03,23,1,24000,Bawang Putih Honan,kg
2022-02-03,24,1,28000,Bawang Putih Kating,kg
2022-02-03,26,1,12000,Susu Kental Manis,kg
2022-02-03,29,1,65000,Daging Ayam Kampung,kg
2022-02-03,30,1,42000,Telur Ayam Kampung,kg
2022-02-04,1,1,9000,Beras Medium,kg
2022-02-04,2,1,10000,Beras Premium,kg
2022-02-04,3,1,25000,Cabai Merah Keriting,kg
2022-02-04,4,1,24000,Cabai Merah Besar,kg
2022-02-04,5,1,25000,Cabai Rawit Merah,kg
2022-02-04,6,1,25000,Cabai Rawit Hijau,kg
2022-02-04,7,1,20000,Bawang Merah,kg
2022-02-04,13,1,11000,Tepung Terigu,kg
2022-02-04,14,1,38000,Daging Ayam Ras,kg
2022-02-04,15,1,20000,Telur Ayam Ras,kg
2022-02-04,16,1,110000,Daging Sapi Paha Belakang,kg
2022-02-04,22,1,3000,Mie Instan,bungkus
2022-02-04,23,1,24000,Bawang Putih Honan,kg
2022-02-04,24,1,28000,Bawang Putih Kating,kg
2022-02-04,26,1,12000,Susu Kental Manis,kg
2022-02-04,29,1,65000,Daging Ayam Kampung,kg
2022-02-04,30,1,42000,Telur Ayam Kampung,kg
2022-02-07,1,1,9000,Beras Medium,kg
2022-02-07,2,1,10000,Beras Premium,kg
2022-02-07,3,1,25000,Cabai Merah Keriting,kg
2022-02-07,4,1,25000,Cabai Merah Besar,kg
2022-02-07,5,1,30000,Cabai Rawit Merah,kg
2022-02-07,6,1,20000,Cabai Rawit Hijau,kg
2022-02-07,7,1,20000,Bawang Merah,kg
2022-02-07,13,1,11000,Tepung Terigu,kg
2022-02-07,14,1,38000,Daging Ayam Ras,kg
2022-02-07,15,1,19500,Telur Ayam Ras,kg
2022-02-07,16,1,110000,Daging Sapi Paha Belakang,kg
2022-02-07,22,1,3000,Mie Instan,bungkus
2022-02-07,23,1,26000,Bawang Putih Honan,kg
2022-02-07,24,1,28000,Bawang Putih Kating,kg
2022-02-07,26,1,12000,Susu Kental Manis,kg
2022-02-07,29,1,60000,Daging Ayam Kampung,kg
2022-02-07,30,1,42000,Telur Ayam Kampung,kg
2022-02-08,1,1,9000,Beras Medium,kg
2022-02-08,2,1,10000,Beras Premium,kg
2022-02-08,3,1,25000,Cabai Merah Keriting,kg
2022-02-08,4,1,25000,Cabai Merah Besar,kg
2022-02-08,5,1,30000,Cabai Rawit Merah,kg
2022-02-08,6,1,20000,Cabai Rawit Hijau,kg
2022-02-08,7,1,20000,Bawang Merah,kg
2022-02-08,13,1,11000,Tepung Terigu,kg
2022-02-08,14,1,38000,Daging Ayam Ras,kg
2022-02-08,15,1,20000,Telur Ayam Ras,kg
2022-02-08,16,1,110000,Daging Sapi Paha Belakang,kg
2022-02-08,22,1,3000,Mie Instan,bungkus
2022-02-08,23,1,26000,Bawang Putih Honan,kg
2022-02-08,24,1,28000,Bawang Putih Kating,kg
2022-02-08,26,1,12000,Susu Kental Manis,kg
2022-02-08,29,1,60000,Daging Ayam Kampung,kg
2022-02-08,30,1,42000,Telur Ayam Kampung,kg
2022-02-09,1,1,9000,Beras Medium,kg
2022-02-09,2,1,10000,Beras Premium,kg
2022-02-09,3,1,25000,Cabai Merah Keriting,kg
2022-02-09,4,1,25000,Cabai Merah Besar,kg
2022-02-09,5,1,30000,Cabai Rawit Merah,kg
2022-02-09,6,1,20000,Cabai Rawit Hijau,kg
2022-02-09,7,1,20000,Bawang Merah,kg
2022-02-09,13,1,11000,Tepung Terigu,kg
2022-02-09,14,1,38000,Daging Ayam Ras,kg
2022-02-09,15,1,20000,Telur Ayam Ras,kg
2022-02-09,16,1,110000,Daging Sapi Paha Belakang,kg
2022-02-09,22,1,3000,Mie Instan,bungkus
2022-02-09,23,1,26000,Bawang Putih Honan,kg
2022-02-09,24,1,28000,Bawang Putih Kating,kg
2022-02-09,26,1,12000,Susu Kental Manis,kg
2022-02-09,29,1,60000,Daging Ayam Kampung,kg
2022-02-09,30,1,42000,Telur Ayam Kampung,kg
2022-02-10,1,1,9000,Beras Medium,kg
2022-02-10,2,1,10000,Beras Premium,kg
2022-02-10,3,1,25000,Cabai Merah Keriting,kg
2022-02-10,4,1,25000,Cabai Merah Besar,kg
2022-02-10,5,1,30000,Cabai Rawit Merah,kg
2022-02-10,6,1,20000,Cabai Rawit Hijau,kg
2022-02-10,7,1,26000,Bawang Merah,kg
2022-02-10,13,1,11000,Tepung Terigu,kg
2022-02-10,14,1,38000,Daging Ayam Ras,kg
